雅安电信IPTV,#genre#
重庆卫视高清,http://zqh2333.top:2222/rtp/239.93.25.107:5140
贵州卫视高清,http://zqh2333.top:2222/rtp/239.93.24.131:5140
湖北卫视高清,http://zqh2333.top:2222/rtp/239.93.24.250:5140
安徽卫视高清,http://zqh2333.top:2222/rtp/239.93.25.106:5140
河北卫视高清,http://zqh2333.top:2222/rtp/239.93.24.132:5140
辽宁卫视高清,http://zqh2333.top:2222/rtp/239.93.25.108:5140
河南卫视高清,http://zqh2333.top:2222/rtp/239.93.55.45:5140
广西卫视高清,http://zqh2333.top:2222/rtp/239.93.55.46:5140
云南卫视高清,http://zqh2333.top:2222/rtp/239.93.24.174:5140
吉宁卫视高清,http://zqh2333.top:2222/rtp/239.93.24.248:5140
陕西卫视高清,http://zqh2333.top:2222/rtp/239.93.24.176:5140
山西卫视,http://zqh2333.top:2222/rtp/239.93.24.6:5140
内蒙古卫视,http://zqh2333.top:2222/rtp/239.93.24.8:5140
青海卫视,http://zqh2333.top:2222/rtp/239.93.24.192:5140
宁夏卫视,http://zqh2333.top:2222/rtp/239.93.24.247:5140
西藏卫视,http://zqh2333.top:2222/rtp/239.93.24.175:5140
新疆卫视,http://zqh2333.top:2222/rtp/239.93.24.194:5140
甘肃卫视高清,http://zqh2333.top:2222/rtp/239.93.24.81:5140
海南卫视,http://zqh2333.top:2222/rtp/239.93.24.80:5140
农林卫视,http://zqh2333.top:2222/rtp/239.93.24.100:5140
兵团卫视,http://zqh2333.top:2222/rtp/239.93.55.43:5140
峨眉电影高清,http://zqh2333.top:2222/rtp/239.93.24.252:5140
厦门卫视,http://zqh2333.top:2222/rtp/239.93.55.57:5140
三沙卫视,http://zqh2333.top:2222/rtp/239.93.55.58:5140
山东教育卫视,http://zqh2333.top:2222/rtp/239.93.25.196:5140
雅安新闻综合高清,http://zqh2333.top:2222/rtp/239.93.25.253:6666
雅安公共频道,http://zqh2333.top:2222/rtp/239.93.25.246:6667
上海纪实高清,http://zqh2333.top:2222/rtp/239.93.24.137:5140
金鹰纪实高清,http://zqh2333.top:2222/rtp/239.93.24.124:5140
CETV1高清,http://zqh2333.top:2222/rtp/239.93.25.111:5140
CETV2,http://zqh2333.top:2222/rtp/239.93.24.113:5140
CETV4,http://zqh2333.top:2222/rtp/239.93.24.50:5140
哈哈炫动,http://zqh2333.top:2222/rtp/239.93.24.173:5140
嘉佳卡通,http://zqh2333.top:2222/rtp/239.93.24.246:5140
卡酷动画,http://zqh2333.top:2222/rtp/239.93.24.208:5140
金鹰卡通,http://zqh2333.top:2222/rtp/239.93.24.108:5140
优漫卡通,http://zqh2333.top:2222/rtp/239.93.24.251:5140
生活时尚,http://zqh2333.top:2222/rtp/239.93.24.106:5140
游戏风云,http://zqh2333.top:2222/rtp/239.93.24.136:5140
纪实人文,http://zqh2333.top:2222/rtp/239.93.24.154:5140
东方财经高清,http://zqh2333.top:2222/rtp/239.93.25.165:5140
4k超高清电影,http://zqh2333.top:2222/rtp/239.93.25.156:5140
4K乐享超清,http://zqh2333.top:2222/rtp/239.93.24.43:5140
求索记录,http://zqh2333.top:2222/rtp/239.93.55.24:5140
绚影4K,http://zqh2333.top:2222/rtp/239.93.55.33:5140
快乐垂钓,http://zqh2333.top:2222/rtp/239.93.25.151:5140
熊猫新闻高清,http://zqh2333.top:2222/rtp/239.93.25.112:5140
熊猫娱乐高清,http://zqh2333.top:2222/rtp/239.93.24.124:5140
经典电影,http://zqh2333.top:2222/rtp/239.93.24.57:9024
华语影院,http://zqh2333.top:2222/rtp/239.93.24.138:5140
星光院线,http://zqh2333.top:2222/rtp/239.93.24.139:5140
全球大片,http://zqh2333.top:2222/rtp/239.93.24.124:5140
热门剧场,http://zqh2333.top:2222/rtp/239.93.24.140:5140
港剧风云,http://zqh2333.top:2222/rtp/239.93.24.143:5140
谍战剧场,http://zqh2333.top:2222/rtp/239.93.24.95:5140
宝宝动画,http://zqh2333.top:2222/rtp/239.93.24.147:5140
少儿动画,http://zqh2333.top:2222/rtp/239.93.24.193:9000
青春动漫,http://zqh2333.top:2222/rtp/239.93.24.146:5140
军事高清,http://zqh2333.top:2222/rtp/239.93.24.204:9076
解密高清,http://zqh2333.top:2222/rtp/239.93.24.199:9048
地理高清,http://zqh2333.top:2222/rtp/239.93.24.200:9052
